fra;vaccin;jour;n_dose1;n_dose2;n_dose3;n_dose4;n_complet;n_rappel;n_2_rappel;n_rappel_biv;n_3_rappel;n_cum_dose1;n_cum_dose2;n_cum_dose3;n_cum_dose4;n_cum_complet;n_cum_rappel;n_cum_2_rappel;n_cum_rappel_biv;n_cum_3_rappel
FR;1;2020-12-27;616;0;0;0;55;0;0;0;0;616;0;0;0;55;0;0;0;0
FR;1;2020-12-28;710;1;0;0;44;0;0;0;0;1326;1;0;0;99;0;0;0;0
FR;1;2020-12-29;390;0;0;0;19;0;0;0;0;1716;1;0;0;118;0;0;0;0
FR;1;2020-12-30;456;0;0;0;20;0;0;0;0;2172;1;0;0;138;0;0;0;0
FR;1;2020-12-31;451;1;0;0;21;0;0;0;0;2623;2;0;0;159;0;0;0;0
FR;1;2021-01-01;1199;2;0;0;66;0;0;0;0;3822;4;0;0;225;0;0;0;0
FR;1;2021-01-02;370;4;0;0;29;0;0;0;0;4192;8;0;0;254;0;0;0;0
FR;1;2021-01-03;419;0;0;0;23;0;0;0;0;4611;8;0;0;277;0;0;0;0
FR;1;2021-01-04;2152;5;0;0;51;0;0;0;0;6763;13;0;0;328;0;0;0;0
FR;1;2021-01-05;7794;6;0;0;128;0;0;0;0;14557;19;0;0;456;0;0;0;0
FR;1;2021-01-06;12491;23;0;0;128;0;0;0;0;27048;42;0;0;584;0;0;0;0
FR;1;2021-01-07;29481;25;0;0;160;0;0;0;0;56529;67;0;0;744;0;0;0;0
FR;1;2021-01-08;37170;36;0;0;205;0;0;0;0;93699;103;0;0;949;0;0;0;0
FR;1;2021-01-09;11221;9;0;0;77;0;0;0;0;104920;112;0;0;1026;0;0;0;0
FR;1;2021-01-10;6017;8;0;0;28;0;0;0;0;110937;120;0;0;1054;0;0;0;0
FR;1;2021-01-11;39956;39;0;0;232;0;0;0;0;150893;159;0;0;1286;0;0;0;0
FR;1;2021-01-12;62166;31;0;0;296;0;0;0;0;213059;190;0;0;1582;0;0;0;0
FR;1;2021-01-13;65150;63;0;0;432;0;0;0;0;278209;253;0;0;2014;0;0;0;0
FR;1;2021-01-14;81473;263;0;0;953;0;0;0;0;359682;516;0;0;2967;0;0;0;0
FR;1;2021-01-15;68642;103;1;0;527;0;0;0;0;428324;619;1;0;3494;0;0;0;0
